account_id,account_name,customer_key,industry,vertical,billing_street,billing_city,billing_state,billing_postal_code,account_type,annual_revenue,employees,created_date
ACC000036,Grossiste Livres Express - Nantes,36,Mediatheque,Institutionnel,150 avenue du Livre,Nantes,44,66261,Prospect,32285294,5,2020-06-28
ACC000037,France Loisirs - Strasbourg,37,Librairie,Librairie,1 avenue du Livre,Strasbourg,67,90584,Partenaire,14488601,500,2020-03-05
ACC000038,Chapitre.com - Lille,38,Bibliotheque,Institutionnel,181 avenue du Livre,Lille,59,41531,Client,4439810,250,2020-05-15
ACC000039,Leslibraires.fr - Rennes,39,Grossiste,Distribution,293 avenue du Livre,Rennes,35,64600,Prospect,40552151,10,2020-03-25
ACC000040,Amazon France - Grenoble,40,Ecole,Education,96 avenue du Livre,Grenoble,38,97080,Partenaire,46791199,250,2022-02-11
ACC000041,Librairie Gallimard - Rouen,41,Universite,Education,44 avenue du Livre,Rouen,76,78614,Partenaire,30083203,500,2022-05-19
ACC000042,Librairie Gibert - Tours,42,Mediatheque,Institutionnel,185 avenue du Livre,Tours,37,18870,Prospect,43698744,500,2020-10-11
ACC000043,Fnac Livres - Dijon,43,Librairie,Librairie,270 avenue du Livre,Dijon,21,81313,Prospect,27093534,50,2020-06-15
ACC000044,Cultura - Clermont-Ferrand,44,Bibliotheque,Institutionnel,260 avenue du Livre,Clermont-Ferrand,63,76535,Partenaire,35367172,5,2020-03-14
ACC000045,Librairie Mollat - Montpellier,45,Grossiste,Distribution,284 avenue du Livre,Montpellier,34,12665,Prospect,39695041,250,2022-05-05
ACC000046,Librairie Decitre - Paris,46,Ecole,Education,200 avenue du Livre,Paris,75,71621,Partenaire,27941121,10,2020-11-25
ACC000047,Le Furet du Nord - Lyon,47,Universite,Education,23 avenue du Livre,Lyon,69,93318,Prospect,29487491,100,2020-08-08
ACC000048,Librairie Kleen - Marseille,48,Mediatheque,Institutionnel,199 avenue du Livre,Marseille,13,58929,Prospect,35015228,100,2021-12-26
ACC000049,Librairie Sauramps - Toulouse,49,Librairie,Librairie,130 avenue du Livre,Toulouse,31,12128,Client,45812070,50,2021-08-27
ACC000050,Librairie Dialogues - Bordeaux,50,Bibliotheque,Institutionnel,183 avenue du Livre,Bordeaux,33,18855,Client,43075841,500,2022-07-27
ACC000051,Bibliotheque Nationale - Nantes,51,Grossiste,Distribution,177 avenue du Livre,Nantes,44,41604,Prospect,43828906,500,2021-08-24
ACC000052,BU Paris-Saclay - Strasbourg,52,Ecole,Education,54 avenue du Livre,Strasbourg,67,86271,Partenaire,3907353,10,2022-07-19
ACC000053,Mediatheque de Lyon - Lille,53,Universite,Education,171 avenue du Livre,Lille,59,27486,Partenaire,15481392,10,2020-03-04
ACC000054,CDI Lycee Voltaire - Rennes,54,Mediatheque,Institutionnel,23 avenue du Livre,Rennes,35,56176,Client,5832799,100,2022-03-17
ACC000055,Ecole Normale Superieure - Grenoble,55,Librairie,Librairie,280 avenue du Livre,Grenoble,38,54374,Prospect,38363290,250,2020-10-15
ACC000056,Grossiste Livres Express - Rouen,56,Bibliotheque,Institutionnel,90 avenue du Livre,Rouen,76,99742,Prospect,30305639,500,2021-06-22
ACC000057,France Loisirs - Tours,57,Grossiste,Distribution,238 avenue du Livre,Tours,37,72722,Partenaire,25669737,100,2020-02-24
ACC000058,Chapitre.com - Dijon,58,Ecole,Education,94 avenue du Livre,Dijon,21,27675,Partenaire,27232568,250,2021-04-19
ACC000059,Leslibraires.fr - Clermont-Ferrand,59,Universite,Education,33 avenue du Livre,Clermont-Ferrand,63,69988,Partenaire,25456410,100,2020-02-14
ACC000060,Amazon France - Montpellier,60,Mediatheque,Institutionnel,19 avenue du Livre,Montpellier,34,48462,Prospect,16614612,500,2021-01-25
ACC000061,Librairie Gallimard - Paris,61,Librairie,Librairie,104 avenue du Livre,Paris,75,15741,Client,5689249,25,2022-09-03
ACC000062,Librairie Gibert - Lyon,62,Bibliotheque,Institutionnel,103 avenue du Livre,Lyon,69,15492,Partenaire,17946492,5,2022-05-07
ACC000063,Fnac Livres - Marseille,63,Grossiste,Distribution,162 avenue du Livre,Marseille,13,50642,Partenaire,10017785,50,2020-12-01
ACC000064,Cultura - Toulouse,64,Ecole,Education,264 avenue du Livre,Toulouse,31,62196,Client,677589,50,2020-12-01
ACC000065,Librairie Mollat - Bordeaux,65,Universite,Education,279 avenue du Livre,Bordeaux,33,72049,Partenaire,9077461,250,2020-03-09
ACC000066,Librairie Decitre - Nantes,66,Mediatheque,Institutionnel,130 avenue du Livre,Nantes,44,14799,Partenaire,41355160,500,2022-01-31
ACC000067,Le Furet du Nord - Strasbourg,67,Librairie,Librairie,98 avenue du Livre,Strasbourg,67,47501,Prospect,40897429,100,2022-03-28
ACC000068,Librairie Kleen - Lille,68,Bibliotheque,Institutionnel,183 avenue du Livre,Lille,59,16265,Client,44391961,100,2021-11-14
ACC000069,Librairie Sauramps - Rennes,69,Grossiste,Distribution,170 avenue du Livre,Rennes,35,45811,Client,42127340,500,2022-03-28
ACC000070,Librairie Dialogues - Grenoble,70,Ecole,Education,64 avenue du Livre,Grenoble,38,58237,Client,5625787,250,2020-01-12
ACC000071,Bibliotheque Nationale - Rouen,71,Universite,Education,224 avenue du Livre,Rouen,76,62431,Client,44010069,25,2020-10-11
ACC000072,BU Paris-Saclay - Tours,72,Mediatheque,Institutionnel,226 avenue du Livre,Tours,37,60678,Partenaire,45022782,100,2021-10-04
ACC000073,Mediatheque de Lyon - Dijon,73,Librairie,Librairie,174 avenue du Livre,Dijon,21,34486,Client,41950794,100,2022-01-29
ACC000074,CDI Lycee Voltaire - Clermont-Ferrand,74,Bibliotheque,Institutionnel,255 avenue du Livre,Clermont-Ferrand,63,75211,Prospect,26904866,100,2022-03-04
ACC000075,Ecole Normale Superieure - Montpellier,75,Grossiste,Distribution,189 avenue du Livre,Montpellier,34,78062,Prospect,25708582,10,2020-01-20
ACC000076,Grossiste Livres Express - Paris,76,Ecole,Education,137 avenue du Livre,Paris,75,20828,Client,8286796,5,2021-07-05
ACC000077,France Loisirs - Lyon,77,Universite,Education,218 avenue du Livre,Lyon,69,20345,Client,32913292,5,2021-09-20
ACC000078,Chapitre.com - Marseille,78,Mediatheque,Institutionnel,221 avenue du Livre,Marseille,13,88964,Prospect,37214125,25,2020-12-04
ACC000079,Leslibraires.fr - Toulouse,79,Librairie,Librairie,93 avenue du Livre,Toulouse,31,81496,Prospect,42198933,500,2021-05-29
ACC000080,Amazon France - Bordeaux,80,Bibliotheque,Institutionnel,151 avenue du Livre,Bordeaux,33,52101,Prospect,18321887,25,2022-06-09
ACC000081,Librairie Gallimard - Nantes,81,Grossiste,Distribution,53 avenue du Livre,Nantes,44,20494,Client,27890718,25,2020-05-08
ACC000082,Librairie Gibert - Strasbourg,82,Ecole,Education,168 avenue du Livre,Strasbourg,67,96628,Prospect,36004502,25,2020-08-29
ACC000083,Fnac Livres - Lille,83,Universite,Education,152 avenue du Livre,Lille,59,50173,Partenaire,6582061,500,2022-08-07
ACC000084,Cultura - Rennes,84,Mediatheque,Institutionnel,229 avenue du Livre,Rennes,35,88986,Client,44359985,100,2021-04-12
ACC000085,Librairie Mollat - Grenoble,85,Librairie,Librairie,219 avenue du Livre,Grenoble,38,31842,Partenaire,31357809,5,2020-03-23
ACC000086,Librairie Decitre - Rouen,86,Bibliotheque,Institutionnel,228 avenue du Livre,Rouen,76,56077,Partenaire,34120137,50,2020-12-22
ACC000087,Le Furet du Nord - Tours,87,Grossiste,Distribution,229 avenue du Livre,Tours,37,15551,Client,35006511,25,2022-06-07
ACC000088,Librairie Kleen - Dijon,88,Ecole,Education,181 avenue du Livre,Dijon,21,90589,Client,27763575,5,2022-02-13
ACC000089,Librairie Sauramps - Clermont-Ferrand,89,Universite,Education,223 avenue du Livre,Clermont-Ferrand,63,45986,Partenaire,33138202,250,2020-06-06
ACC000090,Librairie Dialogues - Montpellier,90,Mediatheque,Institutionnel,30 avenue du Livre,Montpellier,34,19835,Partenaire,49779453,50,2020-07-13
ACC000091,Bibliotheque Nationale - Paris,91,Librairie,Librairie,208 avenue du Livre,Paris,75,57619,Prospect,12003057,500,2020-09-18
ACC000092,BU Paris-Saclay - Lyon,92,Bibliotheque,Institutionnel,263 avenue du Livre,Lyon,69,99051,Partenaire,43497656,5,2020-12-28
ACC000093,Mediatheque de Lyon - Marseille,93,Grossiste,Distribution,82 avenue du Livre,Marseille,13,14081,Client,6964897,500,2020-08-29
ACC000094,CDI Lycee Voltaire - Toulouse,94,Ecole,Education,74 avenue du Livre,Toulouse,31,89635,Partenaire,43437724,50,2021-06-20
ACC000095,Ecole Normale Superieure - Bordeaux,95,Universite,Education,225 avenue du Livre,Bordeaux,33,14561,Partenaire,29783793,25,2020-05-17
ACC000096,Grossiste Livres Express - Nantes,96,Mediatheque,Institutionnel,65 avenue du Livre,Nantes,44,18812,Prospect,3017438,25,2022-01-09
ACC000097,France Loisirs - Strasbourg,97,Librairie,Librairie,121 avenue du Livre,Strasbourg,67,94562,Prospect,38592082,10,2022-06-16
ACC000098,Chapitre.com - Lille,98,Bibliotheque,Institutionnel,188 avenue du Livre,Lille,59,57467,Client,36686202,25,2020-02-13
ACC000099,Leslibraires.fr - Rennes,99,Grossiste,Distribution,197 avenue du Livre,Rennes,35,84349,Prospect,31985074,500,2021-10-15
ACC000100,Amazon France - Grenoble,100,Ecole,Education,17 avenue du Livre,Grenoble,38,89310,Partenaire,35795737,500,2022-03-11
ACC000101,Librairie Gallimard - Rouen,101,Universite,Education,79 avenue du Livre,Rouen,76,99006,Partenaire,11747586,25,2021-08-17
ACC000102,Librairie Gibert - Tours,102,Mediatheque,Institutionnel,231 avenue du Livre,Tours,37,58623,Partenaire,19421073,50,2020-04-10
ACC000103,Fnac Livres - Dijon,103,Librairie,Librairie,191 avenue du Livre,Dijon,21,68188,Client,10975960,500,2020-04-19
ACC000104,Cultura - Clermont-Ferrand,104,Bibliotheque,Institutionnel,40 avenue du Livre,Clermont-Ferrand,63,85225,Partenaire,26494348,50,2022-01-24
ACC000105,Librairie Mollat - Montpellier,105,Grossiste,Distribution,71 avenue du Livre,Montpellier,34,79397,Prospect,19194284,500,2020-04-14
ACC000106,Librairie Decitre - Paris,106,Ecole,Education,188 avenue du Livre,Paris,75,62171,Client,28069777,25,2022-02-09
ACC000107,Le Furet du Nord - Lyon,107,Universite,Education,161 avenue du Livre,Lyon,69,95139,Client,41991457,50,2021-12-15
ACC000108,Librairie Kleen - Marseille,108,Mediatheque,Institutionnel,143 avenue du Livre,Marseille,13,42717,Prospect,25673720,100,2021-06-07
ACC000109,Librairie Sauramps - Toulouse,109,Librairie,Librairie,59 avenue du Livre,Toulouse,31,13396,Partenaire,48950309,50,2020-05-27
ACC000110,Librairie Dialogues - Bordeaux,110,Bibliotheque,Institutionnel,96 avenue du Livre,Bordeaux,33,75410,Prospect,6464605,25,2020-05-03
ACC000111,Bibliotheque Nationale - Nantes,111,Grossiste,Distribution,266 avenue du Livre,Nantes,44,60723,Prospect,6178699,25,2020-09-29
ACC000112,BU Paris-Saclay - Strasbourg,112,Ecole,Education,288 avenue du Livre,Strasbourg,67,25435,Client,10205040,5,2022-06-09
ACC000113,Mediatheque de Lyon - Lille,113,Universite,Education,135 avenue du Livre,Lille,59,44116,Partenaire,12323313,250,2022-06-09
ACC000114,CDI Lycee Voltaire - Rennes,114,Mediatheque,Institutionnel,229 avenue du Livre,Rennes,35,38124,Prospect,1398244,5,2020-03-25
ACC000115,Ecole Normale Superieure - Grenoble,115,Librairie,Librairie,147 avenue du Livre,Grenoble,38,74382,Partenaire,49030712,5,2021-03-21
ACC000116,Grossiste Livres Express - Rouen,116,Bibliotheque,Institutionnel,103 avenue du Livre,Rouen,76,26074,Client,30190615,100,2021-02-25
ACC000117,France Loisirs - Tours,117,Grossiste,Distribution,70 avenue du Livre,Tours,37,19706,Client,33753508,100,2021-09-20
ACC000118,Chapitre.com - Dijon,118,Ecole,Education,232 avenue du Livre,Dijon,21,32630,Prospect,24066716,50,2021-10-20
ACC000119,Leslibraires.fr - Clermont-Ferrand,119,Universite,Education,228 avenue du Livre,Clermont-Ferrand,63,21506,Partenaire,3900489,25,2020-07-11
ACC000120,Amazon France - Montpellier,120,Mediatheque,Institutionnel,164 avenue du Livre,Montpellier,34,97535,Prospect,30865596,50,2021-06-30
ACC000121,Librairie Gallimard - Paris,121,Librairie,Librairie,178 avenue du Livre,Paris,75,18511,Client,43885575,100,2020-06-23
ACC000122,Librairie Gibert - Lyon,122,Bibliotheque,Institutionnel,282 avenue du Livre,Lyon,69,81063,Prospect,22938166,25,2021-12-15
ACC000123,Fnac Livres - Marseille,123,Grossiste,Distribution,149 avenue du Livre,Marseille,13,49315,Prospect,13132066,25,2021-02-08
ACC000124,Cultura - Toulouse,124,Ecole,Education,81 avenue du Livre,Toulouse,31,93584,Partenaire,12872093,25,2022-04-13
ACC000125,Librairie Mollat - Bordeaux,125,Universite,Education,90 avenue du Livre,Bordeaux,33,57381,Client,9229181,250,2022-02-06
ACC000126,Librairie Decitre - Nantes,126,Mediatheque,Institutionnel,261 avenue du Livre,Nantes,44,39391,Client,249633,10,2021-04-01
ACC000127,Le Furet du Nord - Strasbourg,127,Librairie,Librairie,63 avenue du Livre,Strasbourg,67,36342,Partenaire,48979509,25,2021-04-29
ACC000128,Librairie Kleen - Lille,128,Bibliotheque,Institutionnel,72 avenue du Livre,Lille,59,41029,Partenaire,36172240,100,2022-04-15
ACC000129,Librairie Sauramps - Rennes,129,Grossiste,Distribution,253 avenue du Livre,Rennes,35,13445,Prospect,18485090,5,2020-03-28
ACC000130,Librairie Dialogues - Grenoble,130,Ecole,Education,185 avenue du Livre,Grenoble,38,82616,Partenaire,14582027,500,2022-05-28
ACC000131,Bibliotheque Nationale - Rouen,131,Universite,Education,294 avenue du Livre,Rouen,76,58353,Prospect,22499612,250,2022-09-16
ACC000132,BU Paris-Saclay - Tours,132,Mediatheque,Institutionnel,240 avenue du Livre,Tours,37,82305,Prospect,17353180,10,2020-07-10
ACC000133,Mediatheque de Lyon - Dijon,133,Librairie,Librairie,67 avenue du Livre,Dijon,21,90209,Prospect,37863737,10,2021-08-04
ACC000134,CDI Lycee Voltaire - Clermont-Ferrand,134,Bibliotheque,Institutionnel,45 avenue du Livre,Clermont-Ferrand,63,18617,Prospect,34368366,10,2022-08-13
ACC000135,Ecole Normale Superieure - Montpellier,135,Grossiste,Distribution,159 avenue du Livre,Montpellier,34,62187,Client,49551523,500,2020-11-15
ACC000136,Grossiste Livres Express - Paris,136,Ecole,Education,246 avenue du Livre,Paris,75,78903,Prospect,46048277,25,2022-08-06
ACC000137,France Loisirs - Lyon,137,Universite,Education,211 avenue du Livre,Lyon,69,63665,Prospect,598701,50,2021-11-16
ACC000138,Chapitre.com - Marseille,138,Mediatheque,Institutionnel,295 avenue du Livre,Marseille,13,19666,Partenaire,1286310,10,2021-11-23
ACC000139,Leslibraires.fr - Toulouse,139,Librairie,Librairie,65 avenue du Livre,Toulouse,31,51553,Prospect,33911719,5,2020-12-15
ACC000140,Amazon France - Bordeaux,140,Bibliotheque,Institutionnel,38 avenue du Livre,Bordeaux,33,68979,Client,44620329,500,2022-07-10
ACC000141,Librairie Gallimard - Nantes,141,Grossiste,Distribution,239 avenue du Livre,Nantes,44,99143,Prospect,34391634,25,2022-03-07
ACC000142,Librairie Gibert - Strasbourg,142,Ecole,Education,265 avenue du Livre,Strasbourg,67,55156,Client,15318873,50,2020-08-06
ACC000143,Fnac Livres - Lille,143,Universite,Education,66 avenue du Livre,Lille,59,82260,Partenaire,47302421,100,2021-04-13
ACC000144,Cultura - Rennes,144,Mediatheque,Institutionnel,94 avenue du Livre,Rennes,35,26912,Client,46114067,500,2020-11-07
ACC000145,Librairie Mollat - Grenoble,145,Librairie,Librairie,222 avenue du Livre,Grenoble,38,75911,Partenaire,47986495,10,2020-08-16
ACC000146,Librairie Decitre - Rouen,146,Bibliotheque,Institutionnel,29 avenue du Livre,Rouen,76,26274,Partenaire,43934922,10,2021-08-06
ACC000147,Le Furet du Nord - Tours,147,Grossiste,Distribution,266 avenue du Livre,Tours,37,30056,Client,33603951,250,2022-06-10
ACC000148,Librairie Kleen - Dijon,148,Ecole,Education,156 avenue du Livre,Dijon,21,31581,Client,15598270,500,2020-10-20
ACC000149,Librairie Sauramps - Clermont-Ferrand,149,Universite,Education,83 avenue du Livre,Clermont-Ferrand,63,52291,Partenaire,32012643,50,2021-04-08
ACC000150,Librairie Dialogues - Montpellier,150,Mediatheque,Institutionnel,116 avenue du Livre,Montpellier,34,55353,Prospect,20502987,100,2021-08-03
ACC000151,Bibliotheque Nationale - Paris,151,Librairie,Librairie,266 avenue du Livre,Paris,75,47230,Prospect,29099726,10,2022-09-08
ACC000152,BU Paris-Saclay - Lyon,152,Bibliotheque,Institutionnel,41 avenue du Livre,Lyon,69,42847,Prospect,17695042,5,2022-08-18
ACC000153,Mediatheque de Lyon - Marseille,153,Grossiste,Distribution,101 avenue du Livre,Marseille,13,93238,Prospect,36611230,100,2022-02-04
ACC000154,CDI Lycee Voltaire - Toulouse,154,Ecole,Education,283 avenue du Livre,Toulouse,31,45972,Prospect,42803642,5,2022-06-27
ACC000155,Ecole Normale Superieure - Bordeaux,155,Universite,Education,65 avenue du Livre,Bordeaux,33,91922,Prospect,16416986,25,2021-10-10
ACC000156,Grossiste Livres Express - Nantes,156,Mediatheque,Institutionnel,156 avenue du Livre,Nantes,44,90534,Partenaire,35255767,500,2021-06-21
ACC000157,France Loisirs - Strasbourg,157,Librairie,Librairie,274 avenue du Livre,Strasbourg,67,22245,Partenaire,33184779,50,2021-11-28
ACC000158,Chapitre.com - Lille,158,Bibliotheque,Institutionnel,258 avenue du Livre,Lille,59,94015,Client,49956886,25,2021-03-17
ACC000159,Leslibraires.fr - Rennes,159,Grossiste,Distribution,87 avenue du Livre,Rennes,35,87569,Prospect,15546714,250,2022-08-27
ACC000160,Amazon France - Grenoble,160,Ecole,Education,298 avenue du Livre,Grenoble,38,30210,Client,28030419,10,2021-02-15
ACC000161,Librairie Gallimard - Rouen,161,Universite,Education,88 avenue du Livre,Rouen,76,96341,Client,35070942,5,2022-06-25
ACC000162,Librairie Gibert - Tours,162,Mediatheque,Institutionnel,173 avenue du Livre,Tours,37,83874,Partenaire,41142748,10,2020-09-13
ACC000163,Fnac Livres - Dijon,163,Librairie,Librairie,22 avenue du Livre,Dijon,21,13718,Partenaire,41297604,50,2020-12-26
ACC000164,Cultura - Clermont-Ferrand,164,Bibliotheque,Institutionnel,42 avenue du Livre,Clermont-Ferrand,63,15958,Partenaire,29773218,500,2020-08-25
ACC000165,Librairie Mollat - Montpellier,165,Grossiste,Distribution,296 avenue du Livre,Montpellier,34,44688,Prospect,37382253,100,2021-11-22
ACC000166,Librairie Decitre - Paris,166,Ecole,Education,108 avenue du Livre,Paris,75,84991,Prospect,18589634,500,2020-08-07
ACC000167,Le Furet du Nord - Lyon,167,Universite,Education,214 avenue du Livre,Lyon,69,91016,Client,48423290,250,2022-08-25
ACC000168,Librairie Kleen - Marseille,168,Mediatheque,Institutionnel,16 avenue du Livre,Marseille,13,75278,Prospect,15155435,5,2020-09-20
ACC000169,Librairie Sauramps - Toulouse,169,Librairie,Librairie,280 avenue du Livre,Toulouse,31,47967,Prospect,21858898,5,2021-10-17
ACC000170,Librairie Dialogues - Bordeaux,170,Bibliotheque,Institutionnel,155 avenue du Livre,Bordeaux,33,73300,Partenaire,8857199,50,2020-10-18
ACC000171,Bibliotheque Nationale - Nantes,171,Grossiste,Distribution,126 avenue du Livre,Nantes,44,99783,Client,7875096,100,2021-12-25
ACC000172,BU Paris-Saclay - Strasbourg,172,Ecole,Education,208 avenue du Livre,Strasbourg,67,48985,Prospect,32987636,250,2020-04-12
ACC000173,Mediatheque de Lyon - Lille,173,Universite,Education,233 avenue du Livre,Lille,59,19564,Prospect,36507770,100,2021-11-03
ACC000174,CDI Lycee Voltaire - Rennes,174,Mediatheque,Institutionnel,31 avenue du Livre,Rennes,35,30719,Client,373820,250,2022-05-15
ACC000175,Ecole Normale Superieure - Grenoble,175,Librairie,Librairie,226 avenue du Livre,Grenoble,38,64476,Prospect,49115496,10,2020-03-09
ACC000176,Grossiste Livres Express - Rouen,176,Bibliotheque,Institutionnel,248 avenue du Livre,Rouen,76,70875,Client,3234956,50,2020-12-21
ACC000177,France Loisirs - Tours,177,Grossiste,Distribution,105 avenue du Livre,Tours,37,54589,Client,47230425,10,2021-02-04
ACC000178,Chapitre.com - Dijon,178,Ecole,Education,74 avenue du Livre,Dijon,21,50970,Partenaire,36883389,5,2021-12-12
ACC000179,Leslibraires.fr - Clermont-Ferrand,179,Universite,Education,164 avenue du Livre,Clermont-Ferrand,63,55268,Partenaire,11808828,100,2021-10-18
ACC000180,Amazon France - Montpellier,180,Mediatheque,Institutionnel,205 avenue du Livre,Montpellier,34,27139,Partenaire,25699963,5,2022-08-15
ACC000181,Librairie Gallimard - Paris,181,Librairie,Librairie,190 avenue du Livre,Paris,75,77499,Client,43274169,50,2022-06-19
ACC000182,Librairie Gibert - Lyon,182,Bibliotheque,Institutionnel,288 avenue du Livre,Lyon,69,23917,Prospect,37607693,25,2021-04-25
ACC000183,Fnac Livres - Marseille,183,Grossiste,Distribution,164 avenue du Livre,Marseille,13,41685,Prospect,38972934,10,2020-12-11
ACC000184,Cultura - Toulouse,184,Ecole,Education,239 avenue du Livre,Toulouse,31,26059,Client,34301424,25,2021-10-12
ACC000185,Librairie Mollat - Bordeaux,185,Universite,Education,137 avenue du Livre,Bordeaux,33,68929,Client,11222035,100,2021-08-24
ACC000186,Librairie Decitre - Nantes,186,Mediatheque,Institutionnel,127 avenue du Livre,Nantes,44,28465,Partenaire,946010,50,2021-07-07
ACC000187,Le Furet du Nord - Strasbourg,187,Librairie,Librairie,50 avenue du Livre,Strasbourg,67,16632,Partenaire,46100401,100,2022-05-27
ACC000188,Librairie Kleen - Lille,188,Bibliotheque,Institutionnel,149 avenue du Livre,Lille,59,60351,Client,35087422,100,2022-02-27
ACC000189,Librairie Sauramps - Rennes,189,Grossiste,Distribution,215 avenue du Livre,Rennes,35,42541,Partenaire,20393143,10,2022-04-05
ACC000190,Librairie Dialogues - Grenoble,190,Ecole,Education,82 avenue du Livre,Grenoble,38,52917,Partenaire,21935717,10,2022-02-09
ACC000191,Bibliotheque Nationale - Rouen,191,Universite,Education,296 avenue du Livre,Rouen,76,50988,Client,42656028,50,2022-07-04
ACC000192,BU Paris-Saclay - Tours,192,Mediatheque,Institutionnel,98 avenue du Livre,Tours,37,30885,Client,30400126,500,2021-01-08
ACC000193,Mediatheque de Lyon - Dijon,193,Librairie,Librairie,256 avenue du Livre,Dijon,21,77466,Partenaire,1416996,500,2020-05-03
