customer_key,customer_name,industry,vertical,address,city,state,zip
236,Grossiste Livres Express - Rouen,Bibliotheque,Institutionnel,9 avenue du Livre,Rouen,76,58281
237,France Loisirs - Tours,Grossiste,Distribution,170 avenue du Livre,Tours,37,98317
238,Chapitre.com - Dijon,Ecole,Education,57 avenue du Livre,Dijon,21,64596
239,Leslibraires.fr - Clermont-Ferrand,Universite,Education,299 avenue du Livre,Clermont-Ferrand,63,50327
240,Amazon France - Montpellier,Mediatheque,Institutionnel,14 avenue du Livre,Montpellier,34,88238
241,Librairie Gallimard - Paris,Librairie,Librairie,243 avenue du Livre,Paris,75,44803
242,Librairie Gibert - Lyon,Bibliotheque,Institutionnel,297 avenue du Livre,Lyon,69,85711
243,Fnac Livres - Marseille,Grossiste,Distribution,117 avenue du Livre,Marseille,13,16731
244,Cultura - Toulouse,Ecole,Education,299 avenue du Livre,Toulouse,31,72973
245,Librairie Mollat - Bordeaux,Universite,Education,88 avenue du Livre,Bordeaux,33,78712
246,Librairie Decitre - Nantes,Mediatheque,Institutionnel,195 avenue du Livre,Nantes,44,29369
247,Le Furet du Nord - Strasbourg,Librairie,Librairie,125 avenue du Livre,Strasbourg,67,14138
248,Librairie Kleen - Lille,Bibliotheque,Institutionnel,294 avenue du Livre,Lille,59,24404
249,Librairie Sauramps - Rennes,Grossiste,Distribution,98 avenue du Livre,Rennes,35,12482
250,Librairie Dialogues - Grenoble,Ecole,Education,226 avenue du Livre,Grenoble,38,51116
251,Bibliotheque Nationale - Rouen,Universite,Education,215 avenue du Livre,Rouen,76,29848
252,BU Paris-Saclay - Tours,Mediatheque,Institutionnel,212 avenue du Livre,Tours,37,36724
253,Mediatheque de Lyon - Dijon,Librairie,Librairie,211 avenue du Livre,Dijon,21,75774
254,CDI Lycee Voltaire - Clermont-Ferrand,Bibliotheque,Institutionnel,242 avenue du Livre,Clermont-Ferrand,63,18163
255,Ecole Normale Superieure - Montpellier,Grossiste,Distribution,71 avenue du Livre,Montpellier,34,77984
256,Grossiste Livres Express - Paris,Ecole,Education,107 avenue du Livre,Paris,75,83516
257,France Loisirs - Lyon,Universite,Education,167 avenue du Livre,Lyon,69,96799
258,Chapitre.com - Marseille,Mediatheque,Institutionnel,245 avenue du Livre,Marseille,13,78875
259,Leslibraires.fr - Toulouse,Librairie,Librairie,193 avenue du Livre,Toulouse,31,51124
260,Amazon France - Bordeaux,Bibliotheque,Institutionnel,89 avenue du Livre,Bordeaux,33,70249
261,Librairie Gallimard - Nantes,Grossiste,Distribution,273 avenue du Livre,Nantes,44,54869
262,Librairie Gibert - Strasbourg,Ecole,Education,280 avenue du Livre,Strasbourg,67,56437
263,Fnac Livres - Lille,Universite,Education,136 avenue du Livre,Lille,59,89963
264,Cultura - Rennes,Mediatheque,Institutionnel,248 avenue du Livre,Rennes,35,35200
265,Librairie Mollat - Grenoble,Librairie,Librairie,127 avenue du Livre,Grenoble,38,46569
266,Librairie Decitre - Rouen,Bibliotheque,Institutionnel,286 avenue du Livre,Rouen,76,49124
267,Le Furet du Nord - Tours,Grossiste,Distribution,116 avenue du Livre,Tours,37,49008
268,Librairie Kleen - Dijon,Ecole,Education,148 avenue du Livre,Dijon,21,37168
269,Librairie Sauramps - Clermont-Ferrand,Universite,Education,251 avenue du Livre,Clermont-Ferrand,63,51555
270,Librairie Dialogues - Montpellier,Mediatheque,Institutionnel,246 avenue du Livre,Montpellier,34,55718
271,Bibliotheque Nationale - Paris,Librairie,Librairie,287 avenue du Livre,Paris,75,45842
272,BU Paris-Saclay - Lyon,Bibliotheque,Institutionnel,148 avenue du Livre,Lyon,69,25974
273,Mediatheque de Lyon - Marseille,Grossiste,Distribution,294 avenue du Livre,Marseille,13,98686
274,CDI Lycee Voltaire - Toulouse,Ecole,Education,279 avenue du Livre,Toulouse,31,59767
275,Ecole Normale Superieure - Bordeaux,Universite,Education,203 avenue du Livre,Bordeaux,33,55237
276,Grossiste Livres Express - Nantes,Mediatheque,Institutionnel,75 avenue du Livre,Nantes,44,48070
277,France Loisirs - Strasbourg,Librairie,Librairie,22 avenue du Livre,Strasbourg,67,47700
278,Chapitre.com - Lille,Bibliotheque,Institutionnel,41 avenue du Livre,Lille,59,55398
279,Leslibraires.fr - Rennes,Grossiste,Distribution,227 avenue du Livre,Rennes,35,95979
280,Amazon France - Grenoble,Ecole,Education,132 avenue du Livre,Grenoble,38,72793
281,Librairie Gallimard - Rouen,Universite,Education,110 avenue du Livre,Rouen,76,36485
282,Librairie Gibert - Tours,Mediatheque,Institutionnel,276 avenue du Livre,Tours,37,45537
283,Fnac Livres - Dijon,Librairie,Librairie,288 avenue du Livre,Dijon,21,45601
284,Cultura - Clermont-Ferrand,Bibliotheque,Institutionnel,71 avenue du Livre,Clermont-Ferrand,63,24316
285,Librairie Mollat - Montpellier,Grossiste,Distribution,123 avenue du Livre,Montpellier,34,41779
286,Librairie Decitre - Paris,Ecole,Education,26 avenue du Livre,Paris,75,97796
287,Le Furet du Nord - Lyon,Universite,Education,272 avenue du Livre,Lyon,69,39579
288,Librairie Kleen - Marseille,Mediatheque,Institutionnel,120 avenue du Livre,Marseille,13,16880
